Time taken to solve:	196.992 minutes

Required Solution trajectory

Node Index 	 X 	 Y 	 Angle (degrees) 	 Cumulative Cost
1   	 0.000 	 0.000 	 30.0  	 0.0
86629   	 6.062 	 3.500 	 30.0  	 7.0
173257   	 12.124 	 7.000 	 30.0  	 14.0
259885   	 18.187 	 10.500 	 30.0  	 21.0
346513   	 24.249 	 14.000 	 30.0  	 28.0
440353   	 30.311 	 17.500 	 30.0  	 35.0
541320   	 37.311 	 17.500 	 0.0  	 42.0
642288   	 44.311 	 17.500 	 0.0  	 49.0
743256   	 51.311 	 17.500 	 0.0  	 56.0
844224   	 58.311 	 17.500 	 0.0  	 63.0
945192   	 65.311 	 17.500 	 0.0  	 70.0
1046160   	 72.311 	 17.500 	 0.0  	 77.0
1147128   	 79.311 	 17.500 	 0.0  	 84.0
1248096   	 86.311 	 17.500 	 0.0  	 91.0
1349064   	 93.311 	 17.500 	 0.0  	 98.0
1450032   	 100.311 	 17.500 	 0.0  	 105.0
1536661   	 106.373 	 21.000 	 30.0  	 112.0
1623289   	 112.435 	 24.500 	 30.0  	 119.0
1709917   	 118.497 	 28.000 	 30.0  	 126.0
1796545   	 124.560 	 31.500 	 30.0  	 133.0
1883173   	 130.622 	 35.000 	 30.0  	 140.0
1933802   	 134.122 	 41.062 	 60.0  	 147.0
1984430   	 137.622 	 47.124 	 60.0  	 154.0
2035058   	 141.122 	 53.187 	 60.0  	 161.0
2085686   	 144.622 	 59.249 	 60.0  	 168.0
2136326   	 148.122 	 65.311 	 60.0  	 175.0
2186954   	 151.622 	 71.373 	 60.0  	 182.0
2237582   	 155.122 	 77.435 	 60.0  	 189.0
2288210   	 158.622 	 83.497 	 60.0  	 196.0
2338838   	 162.122 	 89.560 	 60.0  	 203.0
2389466   	 165.622 	 95.622 	 60.0  	 210.0
2389635   	 165.622 	 102.622 	 90.0  	 217.0
2389803   	 165.622 	 109.622 	 90.0  	 224.0
2389971   	 165.622 	 116.622 	 90.0  	 231.0
2390139   	 165.622 	 123.622 	 90.0  	 238.0
2440766   	 169.122 	 129.684 	 60.0  	 245.0
2440935   	 169.122 	 136.684 	 90.0  	 252.0
2441103   	 169.122 	 143.684 	 90.0  	 259.0
2441271   	 169.122 	 150.684 	 90.0  	 266.0
2491898   	 172.622 	 156.746 	 60.0  	 273.0
2542538   	 176.122 	 162.808 	 60.0  	 280.0
2593166   	 179.622 	 168.870 	 60.0  	 287.0
2679793   	 185.684 	 172.370 	 30.0  	 294.0
2730422   	 189.184 	 178.433 	 60.0  	 301.0
2817049   	 195.246 	 181.933 	 30.0  	 308.0
2910889   	 201.308 	 185.433 	 30.0  	 315.0
2997517   	 207.370 	 188.933 	 30.0  	 322.0
3084145   	 213.433 	 192.433 	 30.0  	 329.0
3170773   	 219.495 	 195.933 	 30.0  	 336.0
3257401   	 225.557 	 199.433 	 30.0  	 343.0
3344029   	 231.619 	 202.933 	 30.0  	 350.0
3430657   	 237.681 	 206.433 	 30.0  	 357.0
3517285   	 243.744 	 209.933 	 30.0  	 364.0
3611125   	 249.806 	 213.433 	 30.0  	 371.0
3697753   	 255.868 	 216.933 	 30.0  	 378.0
3784381   	 261.930 	 220.433 	 30.0  	 385.0
3871009   	 267.992 	 223.933 	 30.0  	 392.0
3971976   	 274.992 	 223.933 	 360.0  	 399.0
4022606   	 278.492 	 229.995 	 60.0  	 406.0
4109233   	 284.554 	 233.495 	 30.0  	 413.0
4195861   	 290.617 	 236.995 	 30.0  	 420.0
4282489   	 296.679 	 240.495 	 30.0  	 427.0
4369117   	 302.741 	 243.995 	 30.0  	 434.0
4462957   	 308.803 	 247.495 	 30.0  	 441.0
4549585   	 314.865 	 250.995 	 30.0  	 448.0
4636213   	 320.928 	 254.495 	 30.0  	 455.0
4722841   	 326.990 	 257.995 	 30.0  	 462.0
4809469   	 333.052 	 261.495 	 30.0  	 469.0
4896097   	 339.114 	 264.995 	 30.0  	 476.0
4982725   	 345.176 	 268.495 	 30.0  	 483.0
5069353   	 351.238 	 271.995 	 30.0  	 490.0
5163193   	 357.301 	 275.495 	 30.0  	 497.0
5249821   	 363.363 	 278.995 	 30.0  	 504.0
5336449   	 369.425 	 282.495 	 30.0  	 511.0
5423077   	 375.487 	 285.995 	 30.0  	 518.0
5509705   	 381.549 	 289.495 	 30.0  	 525.0
5596333   	 387.611 	 292.995 	 30.0  	 532.0
5682961   	 393.674 	 296.495 	 30.0  	 539.0
5769589   	 399.736 	 299.995 	 30.0  	 546.0
